Artist,Times Played,Artist - Song,Times Played
BEES WIZTHEMC & HONEY,231,DAVID GUETTA & SIA - BEAUTIFUL PEOPLE,167
ED SHEERAN,224,ALEX WARREN - ORDINARY,164
ALEX WARREN,195,MILEY CYRUS - END OF THE WORLD,153
LOLA YOUNG,187,BENSON BOONE - SORRY I'M HERE FOR SOMEONE ELSE,152
DAVID GUETTA & SIA,167,HUGEL X DAWTY FEAT. PRESTON HARRIS - LOOSEN UP,142
SABRINA CARPENTER,165,LOLA YOUNG - MESSY,140
DUA LIPA,164,ROBIN SCHULZ X FAST BOY - MILLION GOOD REASONS,137
MILEY CYRUS,163,NEIKED X PORTUGAL. THE MAN - GLIDE,126
BENSON BOONE,162,BEES WIZTHEMC & HONEY - SHOW ME LOVE,123
TATE MCRAE,147,DOECHII - ANXIETY,120
HUGEL X DAWTY FEAT. PRESTON HARRIS,142,RAVYN LENAE - LOVE ME NOT,120
NINA CHUBA,138,SKI AGGU - PALERMO,117
ROBIN SCHULZ X FAST BOY,137,MYLES SMITH - NICE TO MEET YOU,116
SKI AGGU,130,CALVIN HARRIS FEAT. CLEMENTINE DOUGLAS - BLESSINGS,115
MYLES SMITH,128,NINA CHUBA - WENN DAS LIEBE IST,110
NEIKED X PORTUGAL. THE MAN,126,SABRINA CARPENTER - MANCHILD,109
DOECHII,123,BEES WIZTHEMC & HONEY - TAKE MY MIND,108
RAVYN LENAE,120,ED SHEERAN - SAPPHIRE,105
KAMRAD,120,MAROON 5 FEAT. LISA - PRICELESS,105
SOMBR,118,ED SHEERAN - AZIZAM,104
CALVIN HARRIS FEAT. CLEMENTINE DOUGLAS,115,KAMRAD - BE MINE,102
NICO SANTOS,115,SOMBR - UNDRESSED,101
JUSTIN BIEBER,112,FAST BOY & CLOCKCLOCK - BORN AGAIN,99
MAROON 5 FEAT. LISA,105,LADY GAGA - ABRACADABRA,95
APACHE 207,102,"MOLIY &SKILLIBENG, SHENSEEA  SILENT ADDY - SHAKE IT TO THE MAX (FLY) (REMIX)",93
LADY GAGA,102,JUSTIN BIEBER - DAISIES,90
FAST BOY & CLOCKCLOCK,99,"MALACHIII, ADAM PORT STRYV - POSITIONS",90
"MOLIY &SKILLIBENG, SHENSEEA  SILENT ADDY",93,TATE MCRAE - JUST KEEP WATCHING,87
THE WEEKND,93,NICO SANTOS - HOME PT. 2,86
"MALACHIII, ADAM PORT STRYV",90,APACHE 207 - MORGEN,85
KRAFTKLUB,87,ONEREPUBLIC KYGO - CHASING PARADISE,83
SHAWN MENDES,85,TOKIO HOTEL - HOW TO LOVE,77
TAYLOR SWIFT,84,KRAFTKLUB - SCHIEF IN JEDEM CHOR,71
ONEREPUBLIC KYGO,83,GRACIE ABRAMS - THAT'S SO TRUE,71
CHAPPELL ROAN,83,DISCO LINES & TINASHE - NO BROKE BOYS,68
RIHANNA,77,RUDIMENTAL X KHALID - ALL I KNOW,64
TOKIO HOTEL,77,BURNA BOY FEAT. SHABOOZEY - CHANGE YOUR MIND,63
GRACIE ABRAMS,71,MYLES SMITH SHABOOZEY - BLINK TWICE,57
JUSTIN TIMBERLAKE,69,EMINEM - HOUDINI,54
DISCO LINES & TINASHE,68,SELENA GOMEZ - SINGLE SOON,50
RUDIMENTAL X KHALID,64,PINKPANTHERESS - ILLEGAL,48
BURNA BOY FEAT. SHABOOZEY,63,BILLIE EILISH - BIRDS OF A FEATHER,44
ADDISON RAE,61,CASSÖ X RAYE X D-BLOCK EUROPE - PRADA,42
MYLES SMITH SHABOOZEY,57,ADDISON RAE - FAME IS A GUN,42
EMINEM,56,DUA LIPA - TRAINING SEASON,40
ZARA LARSSON,52,"COLDPLAY FEAT. BURNA BOY, ELYANNA LITTLE SIMZ & TINI - WE PRAY",40
BILLIE EILISH,51,SHAWN MENDES - WHY WHY WHY,38
SELENA GOMEZ,50,DUA LIPA - HOUDINI,36
PINKPANTHERESS,48,KENYA GRACE - STRANGERS,36
TEDDY SWIMS,47,TATE MCRAE - GREEDY,35
CRO,46,BENJAMIN INGROSSO PURPLE DISCO MACHINE FEAT. NILE RODGERS & SHENSEEA - HONEY BOY,35
CASSÖ X RAYE X D-BLOCK EUROPE,42,"$OHO BANI & HERBERT GRÖNEMEYER - ZEIT, DASS SICH WAS DREHT",35
"COLDPLAY FEAT. BURNA BOY, ELYANNA LITTLE SIMZ & TINI",40,LOST FREQUENCIES & BASTILLE - HEAD DOWN,34
COLDPLAY,40,DASHA - AUSTIN,34
AVICII,39,THE WEEKND - DANCING IN THE FLAMES,34
IMAGINE DRAGONS,38,GLOCKENBACH FEAT. ELLA HENDERSON - LIFELINE,33
JASON DERULO,38,JUSTIN TIMBERLAKE - SELFISH,33
DRAKE,37,CHAPPELL ROAN - THE SUBWAY,32
KENYA GRACE,36,SABRINA CARPENTER - ESPRESSO,32
BENJAMIN INGROSSO PURPLE DISCO MACHINE FEAT. NILE RODGERS & SHENSEEA,35,STRYV ADAM PORT FEAT. MALACHIII - MOVE,32
$OHO BANI & HERBERT GRÖNEMEYER,35,ALEX WARREN - ETERNITY,31
BAD BUNNY,35,VANCO FEAT. AYA - MA TNSANI (YALLA HABIBI),31
LOST FREQUENCIES & BASTILLE,34,LOLA YOUNG - ONE THING,30
DASHA,34,HUGEL X TOPIC X ARASH FEAT. DAECOLM - I ADORE YOU,30
GLOCKENBACH FEAT. ELLA HENDERSON,33,MARK AMBOR - BELONG TOGETHER,29
SEAN PAUL,33,SOPHIE AND THE GIANTS - SHUT UP AND DANCE,29
LOI,33,ARTEMAS - I LIKE THE WAY YOU KISS ME,29
STRYV ADAM PORT FEAT. MALACHIII,32,MR. BELT & WEZOL - IT'S NOT RIGHT BUT IT'S OKAY,29
LORDE,32,"CHAPPELL ROAN - GOOD LUCK, BABE!",28
ZARTMANN,31,DUA LIPA - ILLUSION,28
VANCO FEAT. AYA,31,ZERB & SOFIYA NZAU - MWAKI,28
HUGEL X TOPIC X ARASH FEAT. DAECOLM,30,GIANT ROOKS - SOMEBODY LIKE YOU,28
GIANT ROOKS,30,HOZIER - TOO SWEET,28
HOZIER,30,OFENBACH FEAT. NORMA JEAN MARTINE - OVERDRIVE,28
SWEDISH HOUSE MAFIA,30,SHIMZA X AR/CO X KASANGO - FIRE FIRE,28
MARK AMBOR,29,THE MAGICIAN PURPLE DISCO MACHINE - ALL MY LIFE,27
JAN-CHRISTIAN ZELLER,29,IMANBEK & BYOR - BELLY DANCER,27
SOPHIE AND THE GIANTS,29,NICO SANTOS - RAY OF LIGHT,26
ARTEMAS,29,GLOCKENBACH X CHRIS DE SARANDY - MAGIC MOMENT,26
MR. BELT & WEZOL,29,STICKLE X YUNG SAINT PAUL - WUNDERSCHÖN,26
HARRY STYLES,29,BLACKPINK - JUMP,26
ZERB & SOFIYA NZAU,28,JAXOMY X AGATINO ROMERO X RAFFAELLA CARRÀ - PEDRO,26
TWENTY ONE PILOTS,28,LAUV - I LIKE ME BETTER,25
OFENBACH FEAT. NORMA JEAN MARTINE,28,BAD BUNNY - DTMF,25
SHIMZA X AR/CO X KASANGO,28,ZARTMANN - TAU MICH AUF,24
THE MAGICIAN PURPLE DISCO MACHINE,27,TEDDY SWIMS - LOSE CONTROL,24
IMANBEK & BYOR,27,PURPLE DISCO MACHINE X ÁSDÍS - BEAT OF YOUR HEART,24
GLOCKENBACH X CHRIS DE SARANDY,26,FELIX JAEHN & SHOUSE - WALK WITH ME,24
STICKLE X YUNG SAINT PAUL,26,BENNETT - VOIS SUR TON CHEMIN (TECHNO MIX),23
THE CREATOR TYLER,26,ZARA LARSSON - MEMORY LANE,23
BLACKPINK,26,ROSÉ & BRUNO MARS - APT.,23
JAXOMY X AGATINO ROMERO X RAFFAELLA CARRÀ,26,"JAZZY, D.O.D SONNY FODERA - SOMEDAYS",23
LAUV,25,COLDPLAY - FEELSLIKEIMFALLINGINLOVE,23
BLACK EYED PEAS,25,TEDDY SWIMS - BAD DREAMS,22
MACKLEMORE & RYAN LEWIS,25,"TY DOLLA $IGN, WIZ KHALIFA ZERB - LOCATION",22
SEEED,24,SABRINA CARPENTER - TASTE,21
PURPLE DISCO MACHINE X ÁSDÍS,24,BL3SS X CAMRINWATSIN FEAT. BBYCLOSE - KISSES,21
FELIX JAEHN & SHOUSE,24,KAROL G - SI ANTES TE HUBIERA CONOCIDO,21
LEONY,23,TAIO CRUZ FEAT. LUDACRIS - BREAK YOUR HEART,21
BENNETT,23,GREEEN - PANAMA,21
AVA MAX,23,CHAPPELL ROAN - PINK PONY CLUB,20
ROSÉ & BRUNO MARS,23,LINKIN PARK - THE EMPTINESS MACHINE,20
TYLA,23,JAN-CHRISTIAN ZELLER - 1LIVE GO MIX,20
"JAZZY, D.O.D SONNY FODERA",23,TYLA - WATER,20
ARIANA GRANDE,23,LOI - THE WAY I WANT IT,20
OLIVIA RODRIGO,23,FUN. FEAT. JANELLE MONAE - WE ARE YOUNG,20
SAM SMITH,23,LMFAO - PARTY ROCK ANTHEM,19
CLOCKCLOCK,23,ZARA LARSSON - LUSH LIFE,19
"TY DOLLA $IGN, WIZ KHALIFA ZERB",22,ADDISON RAE - DIET PEPSI,19
ELLIE GOULDING,22,ALPHAVILLE DAVID GUETTA & AVA MAX - FOREVER YOUNG,19
BURNA BOY,22,WET LEG - MANGETOUT,19
LANA DEL REY,22,CHRYSTAL - THE DAYS (NOTION REMIX),19
BL3SS X CAMRINWATSIN FEAT. BBYCLOSE,21,TRINIX & MARI FROES - VAITIMBORA,19
KAROL G,21,ROBIN SCHULZ X RITA ORA X TIAGO PZK - I'LL BE THERE,19
TAIO CRUZ FEAT. LUDACRIS,21,ALFA FEAT. MANU CHAO - A ME MI PIACE,18
DJ SNAKE FEAT. BIPOLAR SUNSHINE,21,DJ SNAKE FEAT. BIPOLAR SUNSHINE - PARADISE,18
DJO,21,THE CREATOR TYLER - RING RING RING,18
POST MALONE,21,DJO - BASIC BEING BASIC,18
GREEEN,21,ASAF AVIDAN - ONE DAY (RECKONING SONG) WANKELMUT REMIX,18
LINKIN PARK,20,LORDE - WHAT WAS THAT,18
BRUNO MARS,20,JAX JONES FEAT. RAYE - YOU DON'T KNOW ME,18
MILKY CHANCE,20,"&JOSEPH (CH), BRENT FAIYAZ FRIENDS - JACKIE B",18
GLASS ANIMALS,20,ZEDD FEAT. HAYLEY WILLIAMS OF PARAMORE - STAY THE NIGHT,17
FUN. FEAT. JANELLE MONAE,20,AVICII - LEVELS,17
ONE DIRECTION,19,LOLA YOUNG - D£ALER,17
LMFAO,19,NINA CHUBA - FATA MORGANA,17
EMINEM FEAT. RIHANNA,19,DRAKE - HOLD ON WE'RE GOING HOME,17
ALPHAVILLE DAVID GUETTA & AVA MAX,19,MK FEAT. CHRYSTAL - DIOR,17
USHER,19,JONAS BLUE & MALIVE - EDGE OF DESIRE,17
WET LEG,19,CMAT - TAKE A SEXY PICTURE OF ME,17
LOST FREQUENCIES,19,AYLIVA X APACHE 207 - WUNDER,17
CHRYSTAL,19,TWOCOLORS X SAFRI DUO X CHRIS DE SARANDY - CYNICAL,17
TRINIX & MARI FROES,19,TAYLOR SWIFT - CRUEL SUMMER,16
ROBIN SCHULZ X RITA ORA X TIAGO PZK,19,J BALVIN & WILLY WILLIAM - MI GENTE,16
CHARLIE PUTH,18,BLACK EYED PEAS - ROCK THAT BODY,16
KATY PERRY,18,YEARS & YEARS - KING,16
ALFA FEAT. MANU CHAO,18,TOPIC X DAECOLM - CONTROL OF ME,16
ONEREPUBLIC,18,BADCHIEFF X MAKKO X SIRA - GUT AUS,16
TWOCOLORS,18,DRAKE FEAT. WIZKID & KYLA - ONE DANCE,16
TURNSTILE,18,ELLA HENDERSON FEAT. RUDIMENTAL - ALIBI,16
ASAF AVIDAN,18,REGARD - RIDE IT,16
JAX JONES FEAT. RAYE,18,VANCE JOY - RIPTIDE,15
"&JOSEPH (CH), BRENT FAIYAZ FRIENDS",18,SHAWN MENDES - THERE'S NOTHING HOLDIN' ME BACK,15
ZEDD FEAT. HAYLEY WILLIAMS OF PARAMORE,17,CRO - EINMAL UM DIE WELT,15
CALVIN HARRIS FEAT. ELLIE GOULDING,17,RIHANNA - ONLY GIRL (IN THE WORLD),15
MK FEAT. CHRYSTAL,17,RIHANNA - DIAMONDS,15
JONAS BLUE & MALIVE,17,SHOUSE - LOVE TONIGHT,15
CMAT,17,DELERIUM FEAT. SARAH MCLACHLAN - SILENCE (JOHN SUMMIT REMIX),15
AYLIVA X APACHE 207,17,THE WEEKND METRO BOOMIN' & 21 SAVAGE - CREEPIN',15
MAJOR LAZER,17,"RONIS GOLIATH, BEES WAKYIN & HONEY - ICE 2 WATER",15
JONAS BROTHERS,17,THE WEEKND - SAVE YOUR TEARS,15
TWOCOLORS X SAFRI DUO X CHRIS DE SARANDY,17,TWENTY ONE PILOTS - STRESSED OUT,15
INNA,16,ROUTE 94 FEAT. JESS GLYNNE - MY LOVE,15
BASTILLE,16,MIKE POSNER - I TOOK A PILL IN IBIZA (SEEB REMIX),15
J BALVIN & WILLY WILLIAM,16,GLASS ANIMALS - HEAT WAVES,15
YEARS & YEARS,16,CLOCKCLOCK - LOVE U AGAIN,15
TOPIC X DAECOLM,16,MACKLEMORE & RYAN LEWIS - CAN'T HOLD US,15
BADCHIEFF X MAKKO X SIRA,16,THE NEIGHBOURHOOD - SWEATER WEATHER,15
DRAKE FEAT. WIZKID & KYLA,16,24KGOLDN FEAT. IANN DIOR - MOOD,15
ELLA HENDERSON FEAT. RUDIMENTAL,16,TAYLOR SWIFT - SHAKE IT OFF (TAYLOR'S VERSION),14
REGARD,16,KYGO X AVA MAX - WHATEVER,14
MAROON 5,16,DUA LIPA - DON'T START NOW,14
01099,16,TATE MCRAE - IT'S OK I'M OK,14
PITBULL,16,MEDUZA FEAT. DERMOT KENNEDY - PARADISE,14
VANCE JOY,15,OLIVIA DEAN - NICE TO EACH OTHER,14
PETER FOX,15,ZEDD FEAT. FOXES - CLARITY,14
SHOUSE,15,DAMIANO DAVID - BORN WITH A BROKEN HEART,14
1LIVE DJ SESSION,15,DNCE - CAKE BY THE OCEAN,14
DELERIUM FEAT. SARAH MCLACHLAN,15,LANA DEL REY - SUMMERTIME SADNESS,14
THE WEEKND METRO BOOMIN' & 21 SAVAGE,15,MAJOR LAZER - LIGHT IT UP,14
"RONIS GOLIATH, BEES WAKYIN & HONEY",15,SAM SMITH FEAT. KIM PETRAS - UNHOLY,14
ROUTE 94 FEAT. JESS GLYNNE,15,LORDE - TEAM,14
THE WEEKND FEAT. DAFT PUNK,15,LOST FREQUENCIES & TOM ODELL - BLACK FRIDAY (PRETTY LIKE THE SUN),14
RÜFÜS DU SOL,15,FIFTH HARMONY FEAT. KID INK - WORTH IT,14
MIKE POSNER,15,SOMBR - 12 TO 12,13
THE NEIGHBOURHOOD,15,AVICII - HEY BROTHER,13
24KGOLDN FEAT. IANN DIOR,15,"SNOOP DOGG & WIZ KHALIFA FEAT. BRUNO MARS - YOUNG, WILD & FREE",13
KYGO X AVA MAX,14,SKI AGGU - PARTY SAHNE,13
BOB MARLEY,14,MILLENIUMKID X JBS - VIELLEICHT VIELLEICHT,13
MEDUZA FEAT. DERMOT KENNEDY,14,RIHANNA - S&M,13
OLIVIA DEAN,14,TOMMY RICHMAN - MILLION DOLLAR BABY,13
TOMMY RICHMAN,14,TIËSTO - THE BUSINESS,13
ZEDD FEAT. FOXES,14,"HUNTR/EJAE, AUDREY NUNA, REI AMI, KPOP DEMON HUNTERS CAST X - GOLDEN",13
DAMIANO DAVID,14,JASON DERULO - TAKE YOU DANCING,13
SIA,14,SIRA X BAUSA X BADCHIEFF - 9 BIS 9,13
DNCE,14,EMINEM FEAT. RIHANNA - LOVE THE WAY YOU LIE,13
SAM SMITH FEAT. KIM PETRAS,14,KESHA - DIE YOUNG,13
LOST FREQUENCIES & TOM ODELL,14,SIA - GIMME LOVE,13
FIFTH HARMONY FEAT. KID INK,14,NAUGHTY BOY FEAT. SAM SMITH - LA LA LA,13
SNOOP DOGG & WIZ KHALIFA FEAT. BRUNO MARS,13,ELIZA ROSE - B.O.T.A (BADDEST OF THEM ALL),13
MILLENIUMKID X JBS,13,"GNASH FEAT. OLIVIA O'BRIEN - I HATE U, I LOVE U",13
TIËSTO,13,DAFT PUNK FEAT. PHARRELL - GET LUCKY,13
ADELE,13,01099 - DURSTLÖSCHER,13
"HUNTR/EJAE, AUDREY NUNA, REI AMI, KPOP DEMON HUNTERS CAST X",13,TAYLOR SWIFT - I KNEW YOU WERE TROUBLE (TAYLOR'S VERSION),12
DERMOT KENNEDY,13,TAYLOR SWIFT - BLANK SPACE (TAYLOR'S VERSION),12
CHICANE,13,WALK THE MOON - SHUT UP AND DANCE,12
SIRA X BAUSA X BADCHIEFF,13,KUNGS & COOKIN' ON 3 BURNERS - THIS GIRL,12
KESHA,13,DUA LIPA - DANCE THE NIGHT,12
NAUGHTY BOY FEAT. SAM SMITH,13,IMAGINE DRAGONS - WHATEVER IT TAKES,12
LIL NAS X,13,JESSIE J - DOMINO,12
ELIZA ROSE,13,CHARLIE PUTH - ATTENTION,12
GNASH FEAT. OLIVIA O'BRIEN,13,RIHANNA - WE FOUND LOVE,12
DAFT PUNK FEAT. PHARRELL,13,SEAN PAUL - SHE DOESN'T MIND,12
STROMAE,13,TIESTO - LAY LOW,12
WALK THE MOON,12,ÖWNBOSS & SEVEK - MOVE YOUR BODY,12
KUNGS & COOKIN' ON 3 BURNERS,12,SHABOOZEY - A BAR SONG (TIPSY),12
JESSIE J,12,KATY PERRY - ROAR,12
DISCLOSURE,12,CAPITAL CITIES - SAFE AND SOUND,12
TIESTO,12,JUSTIN TIMBERLAKE - CAN'T STOP THE FEELING!,12
ERIC PRYDZ,12,THE WEEKND - TAKE MY BREATH,12
ÖWNBOSS & SEVEK,12,THE WEEKND - CRY FOR ME,12
SHABOOZEY,12,LYKKE LI - I FOLLOW RIVERS (THE MAGICIAN REMIX),12
CAPITAL CITIES,12,ARIANA GRANDE FEAT. ZEDD - BREAK FREE,12
LYKKE LI,12,REMA & SELENA GOMEZ - CALM DOWN,12
ARIANA GRANDE FEAT. ZEDD,12,AYLIVA - HÄSSLICH,12
REMA & SELENA GOMEZ,12,ICONA POP - I LOVE IT,12
AYLIVA,12,TWOCOLORS - HEAVY METAL LOVE,12
ICONA POP,12,WANKELMUT & EMMA LOUISE - MY HEAD IS A JUNGLE,12
WANKELMUT & EMMA LOUISE,12,CARLY RAE JEPSEN - CALL ME MAYBE,12
MARTERIA,12,LOST FREQUENCIES - LOVE IS THE ONLY THING,12
CARLY RAE JEPSEN,12,CALVIN HARRIS FEAT. DISCIPLES & INA WROLDSEN - HOW DEEP IS YOUR LOVE,12
CALVIN HARRIS FEAT. DISCIPLES & INA WROLDSEN,12,TOVE LO FEAT. HIPPIE SABOTAGE - HABITS (STAY HIGH) (HABITS REMIX),12
PEGGY GOU,12,SWEDISH HOUSE MAFIA - DON'T YOU WORRY CHILD,12
TOVE LO FEAT. HIPPIE SABOTAGE,12,PITBULL FEAT. AFROJACK NE-YO & NAYER - GIVE ME EVERYTHING,12
PITBULL FEAT. AFROJACK NE-YO & NAYER,12,DJ SNAKE FEAT. JUSTIN BIEBER - LET ME LOVE YOU,12
DJ SNAKE FEAT. JUSTIN BIEBER,12,POST MALONE FEAT. MORGAN WALLEN - I HAD SOME HELP,12
POST MALONE FEAT. MORGAN WALLEN,12,MAJOR LAZER & DJ SNAKE FEAT. MØ - LEAN ON,12
MAJOR LAZER & DJ SNAKE FEAT. MØ,12,GAYLE - ABCDEFU,12
GAYLE,12,JUSTIN BIEBER - SORRY,11
MANU CHAO,11,APACHE 207 - MIAMI,11
NINA SKY FEAT. JABBA,11,LEONY - REMEDY,11
WILL.I.AM FEAT. BRITNEY SPEARS,11,NINA SKY FEAT. JABBA - MOVE YA BODY,11
BAUSA,11,WILL.I.AM FEAT. BRITNEY SPEARS - SCREAM & SHOUT,11
TAIO CRUZ,11,SHAWN MENDES - STITCHES,11
JASON DERULO FEAT. NICKI MINAJ & TY DOLLA $IGN,11,SHAWN MENDES - TREAT YOU BETTER,11
SEBASTIAN INGROSSO FEAT. CÉLINE DION,11,BAUSA - WAS DU LIEBE NENNST,11
MORGAN SEATREE FEAT. FLORENCE + THE MACHINE,11,IMAGINE DRAGONS - BELIEVER,11
LIL NAS X & JACK HARLOW,11,JASON DERULO FEAT. NICKI MINAJ & TY DOLLA $IGN - SWALLA,11
KEVIN LYTTLE,11,KAMRAD - FRIENDS,11
AVICII FEAT. SANDRO CAVAZZA,11,"KRAFTKLUB - WENN ICH TOT BIN, FANG ICH WIEDER AN",11
CYRIL,11,SEBASTIAN INGROSSO FEAT. CÉLINE DION - A NEW DAY,11
KATY PERRY FEAT. JUICY J,11,MORGAN SEATREE FEAT. FLORENCE + THE MACHINE - SAY MY NAME (REMIX),11
MØ,11,AVA MAX - SWEET BUT PSYCHO,11
FILOW & IKKIMEL,11,LIL NAS X & JACK HARLOW - INDUSTRY BABY,11
BEYONCÉ,11,ELLIE GOULDING - BURN,11
SAINT JHN,11,ELLIE GOULDING - LIGHTS,11
DUCK SAUCE,11,KEVIN LYTTLE - TURN ME ON,11
CAMILA CABELLO & YOUNG THUG,11,THE WEEKND - THE HILLS,11
RITON X NIGHTCRAWLERS FEAT. MUFASA & HYPEMAN,11,TWENTY ONE PILOTS - HEATHENS,11
INTERPLANETARY CRIMINAL FEAT. ORIGINAL KOFFEE,11,AVICII FEAT. SANDRO CAVAZZA - WITHOUT YOU,11
TOPIC FEAT. A7S,11,CYRIL - STUMBLIN' IN,11
CRO 01099,11,KATY PERRY FEAT. JUICY J - DARK HORSE,11
PETER FOX FEAT. INÉZ,11,MØ - FINAL SONG,11
FLO RIDA,11,FILOW & IKKIMEL - JIGGY,11
JESSIE J FEAT. B.O.B.,10,BEYONCÉ - TEXAS HOLD 'EM,11
AXWELL /\ INGROSSO,10,SAINT JHN - ROSES (IMANBEK REMIX),11
CLEAN BANDIT FEAT. SEAN PAUL & ANNE-MARIE,10,DUCK SAUCE - BARBRA STREISAND,11
RAG'N'BONE MAN,10,CAMILA CABELLO & YOUNG THUG - HAVANA,11
