Artist,Times Played,Artist - Song,Times Played
NINA CHUBA,83,WET LEG - CPR,73
HAIM,80,NINA CHUBA - WENN DAS LIEBE IST,73
THE BEACHES,79,ZIMMER90 - MAKES ME WANNA DANCE,72
ZIMMER90,77,THE BEACHES - DID I SAY TOO MUCH,71
HARD LIFE,75,HARD LIFE - Y3LLOW BIKE,70
WET LEG,75,MARK RONSON X RAYE - SUZANNE,68
BENEE,72,THE KID LAROI - HOW DOES IT FEEL?,68
ROYEL OTIS,70,BIFFY CLYRO - A LITTLE LOVE,68
BIFFY CLYRO,70,BLOSSOMS - GET HAPPY,67
BLOSSOMS,69,MILKY CHANCE - PASSION,67
LOLA YOUNG,68,WIZTHEMC X BEES & HONEY - TAKE MY MIND,65
MARK RONSON X RAYE,68,CHRISTINE AND THE QUEENS X CERRONE - CATCHING FEELINGS,65
THE KID LAROI,68,BENEE - OFF THE RAILS,64
LORDE,68,LORDE - SHAPESHIFTER,64
MILKY CHANCE,68,THE LAST DINNER PARTY - THIS IS THE KILLER SPEAKING,61
GOOD NEIGHBOURS,68,RIZZLE KICKS FEATURING RACHEL CHINOURIRI - FOLLOW EXCITEMENT!,59
WIZTHEMC X BEES & HONEY,65,ALEKSIAH - KEEP MY COOL,58
CHRISTINE AND THE QUEENS X CERRONE,65,GEORGIA - WANNA PLAY,57
THE LAST DINNER PARTY,64,ROYEL OTIS - CAR,56
GEORGIA,62,FOO FIGHTERS - TODAY'S SONG,55
MØ,60,THE LATHUMS - COBBLESTONES,55
FOO FIGHTERS,59,ANNA OF THE NORTH - GIVE ME YOUR LOVE BACK,54
RIZZLE KICKS FEATURING RACHEL CHINOURIRI,59,JADE BIRD - NOBODY,52
ALEKSIAH,58,YAZMIN LACEY - AIN'T I GOOD FOR YOU,52
THE LATHUMS,58,JUNG - TOM CRUISIN',52
ANNA OF THE NORTH,55,GOOD NEIGHBOURS - SUBURBS,51
JADE BIRD,55,LOLA YOUNG - ONE THING,50
TOTAL TOMMY,53,TOTAL TOMMY - BUTTERKNIFE,50
CHET FAKER,53,LOUIS FUTON & CHERUB - LONG STORY SHORT,50
YAZMIN LACEY,52,CHET FAKER - FAR SIDE OF THE MOON,47
JUNG,52,TOMMY RICHMAN - MIAMI,46
LOUIS FUTON & CHERUB,50,NOMBE - IPANEMA,43
