Artist,Times Played,Artist - Song,Times Played
ED SHEERAN,73,TEDDY SWIMS - BAD DREAMS,47
APACHE 207,68,HURTS X PURPLE DISCO MACHINE - WONDERFUL LIFE '25,46
KAMRAD,55,LADY GAGA - ABRACADABRA,45
AVA MAX,55,KAMRAD - BE MINE,45
NICO SANTOS,52,SHABOOZEY FEAT. MYLES SMITH - BLINK TWICE,45
LADY GAGA,51,WIZTHEMC - SHOW ME LOVE,44
CLOCKCLOCK,49,ED SHEERAN - AZIZAM,43
MILEY CYRUS,48,LEONY - BY YOUR SIDE (IN MY MIND),43
LEONY,47,DAVID GUETTA & SIA - BEAUTIFUL PEOPLE,43
TEDDY SWIMS,47,LOLA YOUNG - MESSY,42
LOI,46,APACHE 207 - MORGEN,42
HURTS X PURPLE DISCO MACHINE,46,MILEY CYRUS - END OF THE WORLD,42
SHABOOZEY FEAT. MYLES SMITH,45,ALEX WARREN - ORDINARY,38
SOPHIE AND THE GIANTS,44,FELIX JAEHN FEAT. JHART - PRIDE,38
DAVID GUETTA & SIA,44,MICHAEL PATRICK KELLY - THE ONE,36
WIZTHEMC,44,MICHAEL SCHULTE - AFTERLIFE,36
LOLA YOUNG,42,AVA MAX - LOVIN MYSELF,36
MICHAEL PATRICK KELLY,40,CALVIN HARRIS X CLEMENTINE DOU - BLESSINGS,34
MICHAEL SCHULTE,39,LOI - GET LUCKY,34
ALEX WARREN,38,NICO SANTOS - HOME PT. 2,33
FELIX JAEHN FEAT. JHART,38,CLOCKCLOCK - ADORE YA,30
CALVIN HARRIS X CLEMENTINE DOU,34,"MAROON 5, LISA - PRICELESS",28
SABRINA CARPENTER,33,ED SHEERAN - SAPPHIRE,27
P!NK,32,APACHE 207 - MANN MUSS,25
MICHAEL JACKSON,31,SABRINA CARPENTER - MANCHILD,23
LINKIN PARK,28,NEIKED X PORTUGAL. THE MAN - GLIDE,22
"MAROON 5, LISA",28,SOPHIE AND THE GIANTS - A LITTLE BIT WILD,21
ÁSDÍS,27,THE BOSSHOSS FEAT. ARNOLD SCHW - I'LL BE BACK,21
ZOE WEES,27,GLOCKENBACH X TOM WALKER - HOME,19
MADONNA,25,ÁSDÍS - PICK UP!,19
TAYLOR SWIFT,25,SOMBR - UNDRESSED,17
DUA LIPA,24,LEWIS CAPALDI - SURVIVE,17
QUEEN,24,ARTEMAS - I LIKE THE WAY YOU KISS ME,16
