Artist,Times Played,Artist - Song,Times Played
MILEY CYRUS,89,WIZTHEMC - SHOW ME LOVE,86
ÁSDÍS,88,MILEY CYRUS - END OF THE WORLD,86
WIZTHEMC,86,FAST BOY & CLOCKCLOCK - BORN AGAIN,80
NICO SANTOS,85,NICO SANTOS - HOME PT. 2,79
ED SHEERAN,80,SHABOOZEY FEAT. MYLES SMITH - BLINK TWICE,78
FAST BOY & CLOCKCLOCK,80,SABRINA CARPENTER - MANCHILD,73
SHABOOZEY FEAT. MYLES SMITH,78,FELIX JAEHN X JHART - PRIDE,72
MICHAEL SCHULTE,74,KAMRAD - BE MINE,68
SABRINA CARPENTER,73,MAROON 5 X LISA - PRICELESS,63
FELIX JAEHN X JHART,72,ED SHEERAN - SAPPHIRE,60
KAMRAD,71,HURTS X PURPLE DISCO MACHINE - WONDERFUL LIFE '25,56
MAROON 5 X LISA,63,BENSON BOONE - SORRY I'M HERE FOR SOMEONE ELSE,55
BENSON BOONE,62,MICHAEL SCHULTE - AFTERLIFE,52
LOI,62,ALEX WARREN - ORDINARY,52
LINKIN PARK,61,SOMBR - UNDRESSED,50
DUA LIPA,61,ÁSDÍS - PICK UP!,50
ALEX WARREN,60,LOI - GET LUCKY,49
HURTS X PURPLE DISCO MACHINE,56,DASHA - AUSTIN,39
MARK AMBOR,54,LEWIS CAPALDI - SURVIVE,38
SOMBR,51,RAVYN LENAE - LOVE ME NOT,37
LEWIS CAPALDI,50,HOZIER - TOO SWEET,36
MARC ATLAS,44,MARC ATLAS - MIDNIGHT SUN,36
P!NK,44,OFENBACH FEAT. NORMA JEAN MARTINE - OVERDRIVE,35
CLUESO,42,ZARA LARSSON - MEMORY LANE,34
VELLA,41,CYRIL X JAMES BLUNT - TEARS DRY TONIGHT,33
TAYLOR SWIFT,41,MARK AMBOR - WHO KNOWS,32
SHAWN MENDES,39,APACHE 207 - MORGEN,32
DASHA,39,AVICII & ELLE KING - LET'S RIDE AWAY,31
HOZIER,38,"COLDPLAY FEAT. LITTLE SIMZ, BURNA BOY, ELYANNA & TINI - WE PRAY",31
TEDDY SWIMS,38,LOLA YOUNG - MESSY,30
TATE MCRAE,37,LINKIN PARK - THE EMPTINESS MACHINE,30
ZARA LARSSON,37,TOM GREGORY X VIZE - MAKE IT RIGHT,30
RAVYN LENAE,37,GRACIE ABRAMS - THAT'S SO TRUE,30
OFENBACH FEAT. NORMA JEAN MARTINE,35,DAMIANO DAVID - BORN WITH A BROKEN HEART,29
CHAPPELL ROAN,35,SOPHIE AND THE GIANTS - SHUT UP AND DANCE,29
THE WEEKND,34,VELLA - FREEDOM,28
CYRIL X JAMES BLUNT,33,TWOCOLORS X SAFRI DUO X CHRIS DE SARANDY - CYNICAL,28
APACHE 207,32,ALVARO SOLER - TE IMAGINABA,28
AVICII & ELLE KING,31,TEDDY SWIMS - BAD DREAMS,27
"COLDPLAY FEAT. LITTLE SIMZ, BURNA BOY, ELYANNA & TINI",31,TOPIC X A7S - OUT MY HEAD,26
LOLA YOUNG,31,THE WEEKND - DANCING IN THE FLAMES,26
ALESSI ROSE,31,TATE MCRAE - GREEDY,25
GRACIE ABRAMS,31,CLUESO - MINIMUM,25
HARRY STYLES,30,DOECHII - ANXIETY,25
TOM GREGORY X VIZE,30,LINKIN PARK - LOST,25
ALVARO SOLER,30,CLOCKCLOCK - ADORE YA,23
ROBBIE WILLIAMS,29,TIËSTO - LAY LOW,23
DAMIANO DAVID,29,MARK AMBOR - BELONG TOGETHER,22
SOPHIE AND THE GIANTS,29,TOBY ROMEO & LEONY - CRAZY LOVE,22
TWOCOLORS X SAFRI DUO X CHRIS DE SARANDY,28,ROSA LINN - SNAP,22
CLOCKCLOCK,27,DUA LIPA - DANCE THE NIGHT,22
REA GARVEY,27,R3HAB X MICHAEL PATRICK KELLY X SHAGGY - REBELLION,21
TIËSTO,27,THIRTY SECONDS TO MARS - SEASONS,21
LOST FREQUENCIES,27,JOYA MARLEEN - DIFFICULT,21
TOPIC X A7S,26,LADY GAGA & BRUNO MARS - DIE WITH A SMILE,21
DOECHII,25,SELENA GOMEZ / BENNY BLANCO / GRACIE ABRAMS - CALL ME WHEN YOU BREAK UP,20
BEYONCÉ,25,KENYA GRACE - STRANGERS,20
LEONY,24,SHAWN MENDES - WHY WHY WHY,20
GIANT ROOKS,24,DUA LIPA - HOUDINI,20
SIA,22,BEYONCÉ - TEXAS HOLD 'EM,19
TOBY ROMEO & LEONY,22,"CHAPPELL ROAN - GOOD LUCK, BABE!",19
AVA MAX,22,ROBIN SCHULZ & RITA ORA & TIAGO PZK - I'LL BE THERE,19
MARK FORSTER,22,KYGO X AVA MAX - WHATEVER,19
DERMOT KENNEDY,22,LOST FREQUENCIES - THE FEELING,19
NICKELBACK,22,KYGO X ONEREPUBLIC - CHASING PARADISE,19
ROSA LINN,22,ROBBIE WILLIAMS - FORBIDDEN ROAD,18
IMAGINE DRAGONS,22,HARRY STYLES - AS IT WAS,18
R3HAB X MICHAEL PATRICK KELLY X SHAGGY,21,ALLE FARBEN & MAJESTIC - FROM DISCO TO DISCO,18
MILKY CHANCE,21,ÁSDÍS - FLASHBACK,18
THIRTY SECONDS TO MARS,21,LOST FREQUENCIES X BASTILLE - HEAD DOWN,18
JOYA MARLEEN,21,PERSIA HOLDER - ECHO,18
LADY GAGA & BRUNO MARS,21,ARTEMAS - I LIKE THE WAY YOU KISS ME,18
SELENA GOMEZ / BENNY BLANCO / GRACIE ABRAMS,20,ABOR & TYNNA - PARALLELE LINIEN,17
NELLY FURTADO,20,TAYLOR SWIFT - CRUEL SUMMER,17
KENYA GRACE,20,POST MALONE - CHEMICAL,17
ADELE,20,CAT BURNS - KNOW THAT YOU'RE NOT ALONE,17
COLDPLAY,20,ALESSI ROSE - BITTERSWEET,17
ONEREPUBLIC,20,DAVID PUENTEZ - BURN,17
LADY GAGA,20,GLOCKENBACH X TOM WALKER - HOME,17
ADMT,20,GLOCKENBACH X CHRIS DE SARANDY - MAGIC MOMENT,17
ABOR & TYNNA,19,ALVARO SOLER X TOPIC - SOLO PARA TI,16
MICHAEL PATRICK KELLY,19,GLASS ANIMALS - HEAT WAVES,16
POST MALONE,19,P!NK - TRUSTFALL,16
ROBIN SCHULZ & RITA ORA & TIAGO PZK,19,MAX GIESINGER & JOHANNES OERDING - WIMPERNSCHLAG,16
KYGO X AVA MAX,19,GLOCKENBACH FEAT. DECLAN J DONOVAN - BETTER DAYS,16
KYGO X ONEREPUBLIC,19,ZARTMANN - TAU MICH AUF,16
ALLE FARBEN & MAJESTIC,18,BILLIE EILISH - BIRDS OF A FEATHER,16
RIHANNA,18,GIANT ROOKS - SOMEBODY LIKE YOU,15
CAT BURNS,18,P!NK - RUNAWAY,15
LOST FREQUENCIES X BASTILLE,18,MARSHMELLO X P!NK X STING - DREAMING,15
PERSIA HOLDER,18,SIA - GIMME LOVE,14
JONAS BROTHERS,18,MICHAEL SCHULTE - BEAUTIFUL REASON,14
ARTEMAS,18,REA GARVEY - HALO,14
LEVKA,18,TAYLOR SWIFT - ANTI-HERO,14
LENA,17,RAYE FEAT. 070 SHAKE - ESCAPISM,14
KELLY CLARKSON,17,KRAFTKLUB - SCHIEF IN JEDEM CHOR,14
JUSTIN TIMBERLAKE,17,ALESSI ROSE - SAME MOUTH,14
ISAAK,17,SKAAR - MISSING OUT,14
TWENTY ONE PILOTS,17,SKUTH & BAC - ZU DEN ANDEREN,14
DAVID PUENTEZ,17,VELLA - ALL MY LOVE,13
GLOCKENBACH X TOM WALKER,17,CLUESO - DEJA VU,13
SEBASTIAN SCHUB,17,ALOK X SIGALA X ELLIE GOULDING - ALL BY MYSELF,13
GLOCKENBACH X CHRIS DE SARANDY,17,GLOCKENBACH X ELLA HENDERSON - LIFELINE,13
ALVARO SOLER X TOPIC,16,PROVINZ - GLAUBST DU,13
LIL NAS X,16,LEVKA - LANGSAM WARM,13
GLASS ANIMALS,16,SEBASTIAN SCHUB - BLISTERS & SUNBURN,13
MAX GIESINGER & JOHANNES OERDING,16,LIL NAS X - STAR WALKIN',12
SNOW PATROL,16,LEWIS CAPALDI - FORGET ME,12
GLOCKENBACH FEAT. DECLAN J DONOVAN,16,MARSHMELLO & JONAS BROTHERS - SLOW MOTION,12
KATY PERRY,16,CHAPPELL ROAN - THE SUBWAY,12
ZARTMANN,16,PICTURE THIS - GET ON MY LOVE,12
RED HOT CHILI PEPPERS,16,GLOCKENBACH FEAT. NORMA JEAN MARTINE - ANTHEM,12
BILLIE EILISH,16,ED SHEERAN - AZIZAM,11
TWOCOLORS,15,DERMOT KENNEDY - KISS ME,11
MADONNA,15,ÁSDÍS - TOUCH ME,11
BRUNO MARS,15,IGGI KELLY - HEARD IT ALL,11
KRAFTKLUB,15,COLDPLAY - FEELSLIKEIMFALLINGINLOVE,11
MARSHMELLO X P!NK X STING,15,ISAAK - HAPPY TEARS,11
THE KILLERS,14,LUVCAT - LOVE & MONEY,11
RAYE FEAT. 070 SHAKE,14,MALIK HARRIS - STICKS & STONES,11
JENNIFER LOPEZ,14,ADMT - COME ALONG,11
BTS,14,NOAH KAHAN - STICK SEASON,11
ALICIA KEYS,14,SHAWN MENDES - WHEN YOU'RE GONE,10
THUNDER JACKSON,14,SELENA GOMEZ - SINGLE SOON,10
SKAAR,14,CYRIL - STUMBLIN' IN,10
SKUTH & BAC,14,P!NK - NEVER GONNA NOT DANCE AGAIN,10
OLIVIA RODRIGO,14,MASTER KG FEAT. NOMCEBO ZIKODE - JERUSALEMA,10
STROMAE,13,CAMILA CABELLO - DON'T GO YET,10
ALOK X SIGALA X ELLIE GOULDING,13,SHOUSE - LOVE TONIGHT,10
JASON DERULO,13,LEONY - REMEDY,9
