Artist,Times Played,Artist - Song,Times Played
ED SHEERAN,76,LOLA YOUNG - MESSY,50
LOLA YOUNG,51,ROSÉ & BRUNO MARS - APT.,48
KAMRAD,51,ALEX WARREN - ORDINARY,44
LEONY,49,MILEY CYRUS - END OF THE WORLD,42
ROSÉ & BRUNO MARS,48,BENSON BOONE - SORRY I'M HERE FOR SOMEONE ELSE,40
ALEX WARREN,47,HUGEL X TOPIC X ARASH FEAT. DAECOLM - I ADORE YOU,39
NICO SANTOS,47,KAMRAD - BE MINE,37
MILEY CYRUS,47,ED SHEERAN - AZIZAM,34
DUA LIPA,45,NICO SANTOS - HOME PT. 2,33
BENSON BOONE,40,MYLES SMITH - NICE TO MEET YOU,33
HUGEL X TOPIC X ARASH FEAT. DAECOLM,39,ED SHEERAN - SAPPHIRE,32
MICHAEL PATRICK KELLY,38,"LITTLE SIMZ, BURNA BOY, ELYANNA COLDPLAY & TINI - WE PRAY",31
MICHAEL SCHULTE,38,LEONY - BY YOUR SIDE (IN MY MIND),29
SABRINA CARPENTER,37,MICHAEL PATRICK KELLY - THE ONE,29
MYLES SMITH,36,MICHAEL SCHULTE - AFTERLIFE,29
ROBBIE WILLIAMS,35,LADY GAGA - ABRACADABRA,28
LADY GAGA,34,FELIX JAEHN FEAT. JHART - PRIDE,27
REA GARVEY,33,FAST BOY & CLOCKCLOCK - BORN AGAIN,25
"LITTLE SIMZ, BURNA BOY, ELYANNA COLDPLAY & TINI",31,SHABOOZEY FEAT. MYLES SMITH - BLINK TWICE,21
ALVARO SOLER,31,LOI - GET LUCKY,21
KATY PERRY,30,ROBBIE WILLIAMS - FORBIDDEN ROAD,20
TAYLOR SWIFT,30,SABRINA CARPENTER - MANCHILD,19
PINK,30,ALVARO SOLER - CON CALMA,19
LOI,29,DASHA - AUSTIN,16
AVA MAX,28,THE WEEKND - DANCING IN THE FLAMES,16
FELIX JAEHN FEAT. JHART,27,MAROON 5 FEAT. LISA - PRICELESS,15
FAST BOY & CLOCKCLOCK,25,TWOCOLORS X SAFRI DUO X CHRIS DE SARANDY - CYNICAL,14
CLOCKCLOCK,23,DUA LIPA - HOUDINI,14
SHABOOZEY FEAT. MYLES SMITH,21,REA GARVEY - FREE LIKE THE OCEAN,13
THE WEEKND,21,NEIKED X PORTUGAL.THE MAN - GLIDE,13
LINKIN PARK,20,SELENA GOMEZ - SINGLE SOON,13
ONEREPUBLIC,18,ARIANA GRANDE - WE CAN'T BE FRIENDS (WAIT FOR YOUR LOVE),12
MICHAEL JACKSON,18,TAYLOR SWIFT - CRUEL SUMMER,12
SIA,18,WIZTHEMC - SHOW ME LOVE,12
LOST FREQUENCIES,17,SOPHIE AND THE GIANTS - SHUT UP AND DANCE,12
IMAGINE DRAGONS,17,ROBIN SCHULZ & RITA ORA & TIAGO PZK - I'LL BE THERE,12
ARIANA GRANDE,16,SABRINA CARPENTER - TASTE,11
ASDIS,16,MARK AMBOR - BELONG TOGETHER,11
DASHA,16,HURTS & PURPLE DISCO MACHINE - WONDERFUL LIFE '25,11
ADELE,16,CYRIL - STUMBLIN' IN,11
JUSTIN TIMBERLAKE,16,LOST FREQUENCIES - LOVE IS THE ONLY THING,11
MAROON 5 FEAT. LISA,15,LINKIN PARK - THE EMPTINESS MACHINE,11
MADONNA,15,SOPHIE AND THE GIANTS & PURPLE DISCO MACHINE - PARADISE,10
SHAWN MENDES,15,ASDIS - PICK UP!,10
TWOCOLORS X SAFRI DUO X CHRIS DE SARANDY,14,BILLIE EILISH - BIRDS OF A FEATHER,10
JENNIFER LOPEZ,14,BEES WIZTHEMC & HONEY - SHOW ME LOVE,10
BACKSTREET BOYS,14,HURTS X PURPLE DISCO MACHINE - WONDERFUL LIFE '25,10
COLDPLAY,14,ZARA LARSSON - MEMORY LANE,10
MARK AMBOR,13,POST MALONE - CHEMICAL,10
MICHAEL SCHULTE X R3HAB,13,KYGO X AVA MAX - WHATEVER,10
TEDDY SWIMS,13,TAYLOR SWIFT - ANTI-HERO,9
LEWIS CAPALDI,13,REA GARVEY - HALO,9
NEIKED X PORTUGAL.THE MAN,13,DUA LIPA - ILLUSION,9
ZARA LARSSON,13,HOZIER - TOO SWEET,9
SELENA GOMEZ,13,PURPLE DISCO MACHINE X THE MAGICIAN - ALL MY LIFE,9
POST MALONE,13,DAVID GUETTA & ONEREPUBLIC - I DON'T WANNA WAIT,9
AVICII,12,GLOCKENBACH X CHRIS DE SARANDY - MAGIC MOMENT,9
WIZTHEMC,12,AVICII & ELLE KING - LET'S RIDE AWAY,9
SOPHIE AND THE GIANTS,12,LOST FREQUENCIES X BASTILLE - HEAD DOWN,9
R.E.M.,12,SIA - GIMME LOVE,9
ROBIN SCHULZ & RITA ORA & TIAGO PZK,12,KENYA GRACE - STRANGERS,8
TINA TURNER,11,JUSTIN TIMBERLAKE - SELFISH,8
ERASURE,11,LEWIS CAPALDI - SURVIVE,8
HURTS & PURPLE DISCO MACHINE,11,FELIX JAEHN X JHART - PRIDE,8
HARRY STYLES,11,SABRINA CARPENTER - ESPRESSO,7
HOZIER,11,CLOCKCLOCK - ADORE YA,7
CYRIL,11,CLOCKCLOCK - SOMEDAY SOON,7
NICKELBACK,11,LEONY - HOLDING ON,7
GEORGE EZRA,11,LEONY - SIMPLE LIFE,7
NELLY FURTADO,10,AVA MAX - SPOT A FAKE,7
,10,MICHAEL SCHULTE X R3HAB - BETTER ME,7
QUEEN,10,TEDDY SWIMS - BAD DREAMS,7
SOPHIE AND THE GIANTS & PURPLE DISCO MACHINE,10,SHABOOZEY - A BAR SONG (TIPSY),7
PET SHOP BOYS,10,DOECHII - ANXIETY,7
