Artist,Times Played,Artist - Song,Times Played
HONEY,515,DAVID GUETTA - BEAUTIFUL PEOPLE,299
BEES WIZTHEMC,491,SIA - BEAUTIFUL PEOPLE,299
DAVID GUETTA,439,MILEY CYRUS - END OF THE WORLD,283
ED SHEERAN,430,ALEX WARREN - ORDINARY,262
FAST BOY,402,BENSON BOONE - SORRY I'M HERE FOR SOMEONE ELSE,258
LOLA YOUNG,400,NEIKED - GLIDE,255
ALEX WARREN,377,PORTUGAL. THE MAN - GLIDE,255
SIA,340,BEES WIZTHEMC - SHOW ME LOVE,253
CALVIN HARRIS,323,HONEY - SHOW ME LOVE,253
MILEY CYRUS,314,LOLA YOUNG - MESSY,246
DUA LIPA,310,KAMRAD - BE MINE,222
NINA CHUBA,305,CALVIN HARRIS - BLESSINGS,221
ROBIN SCHULZ,300,CLEMENTINE DOUGLAS - BLESSINGS,221
HUGEL,296,HUGEL - LOOSEN UP,220
SABRINA CARPENTER,296,DAWTY - LOOSEN UP,220
TATE MCRAE,290,PRESTON HARRIS - LOOSEN UP,220
BENSON BOONE,279,ED SHEERAN - SAPPHIRE,216
JUSTIN BIEBER,276,HONEY - TAKE MY MIND,204
APACHE 207,266,BEES WIZTHEMC - TAKE MY MIND,200
NEIKED,255,SOMBR - UNDRESSED,199
PORTUGAL. THE MAN,255,RAVYN LENAE - LOVE ME NOT,198
SOMBR,249,DOECHII - ANXIETY,195
KAMRAD,247,ED SHEERAN - AZIZAM,193
CLOCKCLOCK,224,SABRINA CARPENTER - MANCHILD,191
CLEMENTINE DOUGLAS,223,FAST BOY - MILLION GOOD REASONS,189
DAWTY,220,ROBIN SCHULZ - MILLION GOOD REASONS,189
PRESTON HARRIS,220,NINA CHUBA - WENN DAS LIEBE IST,185
MAROON 5,218,FAST BOY - BORN AGAIN,179
BURNA BOY,216,CLOCKCLOCK - BORN AGAIN,179
THE WEEKND,214,LADY GAGA - ABRACADABRA,176
NICO SANTOS,211,APACHE 207 - MORGEN,175
SKI AGGU,209,MAROON 5 - PRICELESS,175
DOECHII,204,LISA - PRICELESS,175
RIHANNA,200,TATE MCRAE - JUST KEEP WATCHING,173
LADY GAGA,199,JUSTIN BIEBER - DAISIES,172
RAVYN LENAE,198,MOLIY - SHAKE IT TO THE MAX (FLY) (REMIX),172
LISA,184,SKILLIBENG - SHAKE IT TO THE MAX (FLY) (REMIX),172
CHAPPELL ROAN,181,SKI AGGU - PALERMO,170
COLDPLAY,181,SHENSEEA  SILENT ADDY - SHAKE IT TO THE MAX (FLY) (REMIX),169
RUDIMENTAL,179,MYLES SMITH SHABOOZEY - BLINK TWICE,168
TINASHE,178,NICO SANTOS - HOME PT. 2,161
DISCO LINES,176,DISCO LINES - NO BROKE BOYS,158
MALACHIII,175,TINASHE - NO BROKE BOYS,158
MOLIY,172,ONEREPUBLIC KYGO - CHASING PARADISE,146
SKILLIBENG,172,MYLES SMITH - NICE TO MEET YOU,130
SHENSEEA  SILENT ADDY,169,RUDIMENTAL - ALL I KNOW,128
MYLES SMITH SHABOOZEY,168,KHALID - ALL I KNOW,128
BRUNO MARS,167,BURNA BOY - CHANGE YOUR MIND,124
TAYLOR SWIFT,164,SHABOOZEY - CHANGE YOUR MIND,124
MYLES SMITH,157,MALACHIII - POSITIONS,114
AVA MAX,150,ADAM PORT STRYV - POSITIONS,112
SHAWN MENDES,150,GRACIE ABRAMS - THAT'S SO TRUE,104
SHABOOZEY,149,PINKPANTHERESS - ILLEGAL,97
ONEREPUBLIC KYGO,146,LOLA YOUNG - D£ALER,96
KHALID,144,EMINEM - HOUDINI,86
TOPIC,143,ALEX WARREN - ETERNITY,83
CRO,142,HUNTR - GOLDEN,79
LOST FREQUENCIES,138,EJAE - GOLDEN,79
RAYE,133,AUDREY NUNA - GOLDEN,79
JUSTIN TIMBERLAKE,128,REI AMI - GOLDEN,79
KRAFTKLUB,120,TOKIO HOTEL - HOW TO LOVE,79
SEAN PAUL,119,CHAPPELL ROAN - THE SUBWAY,78
EMINEM,119,BILLIE EILISH - BIRDS OF A FEATHER,78
AVICII,117,CASSÖ - PRADA,76
DJ SNAKE,117,RAYE - PRADA,76
SELENA GOMEZ,115,D-BLOCK EUROPE - PRADA,76
ADAM PORT STRYV,112,KPOP DEMON HUNTERS CAST X - GOLDEN,76
HUNTR,112,KRAFTKLUB - SCHIEF IN JEDEM CHOR,75
EJAE,112,"$OHO BANI - ZEIT, DASS SICH WAS DREHT",75
AUDREY NUNA,112,"HERBERT GRÖNEMEYER - ZEIT, DASS SICH WAS DREHT",75
REI AMI,112,ADDISON RAE - FAME IS A GUN,73
BILLIE EILISH,111,MR. BELT - IT'S NOT RIGHT BUT IT'S OKAY,69
ZARA LARSSON,110,WEZOL - IT'S NOT RIGHT BUT IT'S OKAY,69
KPOP DEMON HUNTERS CAST X,109,KENYA GRACE - STRANGERS,69
MAKKO,105,SELENA GOMEZ - SINGLE SOON,68
GRACIE ABRAMS,104,SHAWN MENDES - WHY WHY WHY,66
ZEDD,103,THE WEEKND - DANCING IN THE FLAMES,65
GLOCKENBACH,103,OFENBACH - OVERDRIVE,64
ADDISON RAE,103,NORMA JEAN MARTINE - OVERDRIVE,64
SAM SMITH,102,DAVID GUETTA - THINK OF ME,63
OFENBACH,101,SABRINA CARPENTER - ESPRESSO,63
TEDDY SWIMS,97,KEHLANI - THINK OF ME,63
PINKPANTHERESS,97,DAECOLM HUGEL - THINK OF ME,63
PURPLE DISCO MACHINE,95,DUA LIPA - HOUDINI,62
ARIANA GRANDE,95,MALACHIII - MOVE,61
JAX JONES,91,TATE MCRAE - GREEDY,61
POST MALONE,90,JUSTIN TIMBERLAKE - SELFISH,60
JASON DERULO,89,STRYV ADAM PORT - MOVE,60
PITBULL,88,BURNA BOY - WE PRAY,59
ELLA HENDERSON,87,DUA LIPA - TRAINING SEASON,59
BASTILLE,86,COLDPLAY - WE PRAY,59
DRAKE,86,ELYANNA LITTLE SIMZ - WE PRAY,59
CHRYSTAL,85,TINI - WE PRAY,59
DAECOLM,85,BASTILLE - HEAD DOWN,58
BAD BUNNY,85,LOST FREQUENCIES - HEAD DOWN,58
FELIX JAEHN,84,JAN-CHRISTIAN ZELLER - 1LIVE GO MIX,58
JAMES HYPE,83,SOFIYA NZAU - MWAKI,57
JAN-CHRISTIAN ZELLER,83,ZERB - MWAKI,57
CHRIS DE SARANDY,82,ARTEMAS - I LIKE THE WAY YOU KISS ME,57
TOKIO HOTEL,81,THE MAGICIAN PURPLE DISCO MACHINE - ALL MY LIFE,56
JESS GLYNNE,80,GLOCKENBACH - MAGIC MOMENT,56
KYGO,79,CHRIS DE SARANDY - MAGIC MOMENT,56
CASSÖ,76,NILE RODGERS - HONEY BOY,56
D-BLOCK EUROPE,76,SHENSEEA - HONEY BOY,56
NORMA JEAN MARTINE,76,BAD BUNNY - DTMF,56
SWEDISH HOUSE MAFIA,75,HUGEL - I ADORE YOU,55
$OHO BANI,75,TOPIC - I ADORE YOU,55
HERBERT GRÖNEMEYER,75,BENJAMIN INGROSSO PURPLE DISCO MACHINE - HONEY BOY,55
01099,72,ARASH - I ADORE YOU,55
SNOOP DOGG,71,DAECOLM - I ADORE YOU,55
J BALVIN,71,VANCO - MA TNSANI (YALLA HABIBI),55
YEARS,70,AYA - MA TNSANI (YALLA HABIBI),55
BLACK EYED PEAS,70,HOZIER - TOO SWEET,55
RITA ORA,70,BLACKPINK - JUMP,54
OLIVIA RODRIGO,70,DASHA - AUSTIN,53
MR. BELT,69,"CHAPPELL ROAN - GOOD LUCK, BABE!",52
WEZOL,69,DUA LIPA - ILLUSION,52
KENYA GRACE,69,YEARS - KING,52
ELLIE GOULDING,68,BRUNO MARS - APT.,51
HARRY STYLES,66,TEDDY SWIMS - BAD DREAMS,51
KATY PERRY,66,ROSÉ - APT.,51
ZARTMANN,65,SOPHIE AND THE GIANTS - SHUT UP AND DANCE,51
