Artist,Times Played,Artist - Song,Times Played
THE BEACHES,142,WET LEG - CPR,128
WIZTHEMC,140,ZIMMER90 - MAKES ME WANNA DANCE,121
NINA CHUBA,137,THE KID LAROI - HOW DOES IT FEEL?,120
HAIM,135,HARD LIFE - Y3LLOW BIKE,119
BENEE,132,WIZTHEMC - TAKE MY MIND,119
ROYEL OTIS,132,BEES - TAKE MY MIND,119
WET LEG,131,HONEY - TAKE MY MIND,119
ZIMMER90,130,BIFFY CLYRO - A LITTLE LOVE,118
HARD LIFE,129,MARK RONSON - SUZANNE,116
GOOD NEIGHBOURS,129,RAYE - SUZANNE,116
LORDE,123,THE BEACHES - DID I SAY TOO MUCH,116
BIFFY CLYRO,123,BENEE - OFF THE RAILS,115
THE KID LAROI,120,LORDE - SHAPESHIFTER,115
MASTER PEACE,120,CHRISTINE AND THE QUEENS - CATCHING FEELINGS,115
BEES,119,CERRONE - CATCHING FEELINGS,115
HONEY,119,RIZZLE KICKS - FOLLOW EXCITEMENT!,110
MARK RONSON,119,URING RACHEL CHINOURIRI - FOLLOW EXCITEMENT!,110
RAYE,118,THE LAST DINNER PARTY - THIS IS THE KILLER SPEAKING,106
CHRISTINE AND THE QUEENS,115,GOOD NEIGHBOURS - SUBURBS,100
CERRONE,115,ROYEL OTIS - CAR,99
THE LAST DINNER PARTY,111,ALEKSIAH - KEEP MY COOL,96
RIZZLE KICKS,110,MILKY CHANCE - PASSION,95
URING RACHEL CHINOURIRI,110,TOMMY RICHMAN - MIAMI,95
GEORGIA,103,THE LATHUMS - COBBLESTONES,93
THE LATHUMS,101,GEORGIA - WANNA PLAY,93
TOMMY RICHMAN,101,ANNA OF THE NORTH - GIVE ME YOUR LOVE BACK,91
CHET FAKER,99,JUNG - TOM CRUISIN',91
MILKY CHANCE,98,FOO FIGHTERS - TODAY'S SONG,90
SOMBR,98,JADE BIRD - NOBODY,89
ALEKSIAH,96,YAZMIN LACEY - AIN'T I GOOD FOR YOU,88
FOO FIGHTERS,96,SOMBR - 12 TO 12,88
ANNA OF THE NORTH,94,CHET FAKER - FAR SIDE OF THE MOON,85
ANAÏS,94,AJ TRACEY - RED WINE,81
JADE BIRD,92,MASTER PEACE - RED WINE,81
JUNG,91,NINA CHUBA - WENN DAS LIEBE IST,78
YAZMIN LACEY,88,ELLA EYRE - SPACE,76
JOLLE,86,BLOSSOMS - GET HAPPY,75
CLOUDY JUNE,84,TOTAL TOMMY - BUTTERKNIFE,70
LOLA YOUNG,82,SIGRID - JELLYFISH,69
LOUIS FUTON,82,ANAÏS - ARSCH DER WELT,66
BLOSSOMS,81,NOMBE - IPANEMA,66
AJ TRACEY,81,JOHN BUTLER - KING OF CALIFORNIA,66
MØ,81,JOLLE - ARSCH DER WELT,66
ELLA EYRE,79,CLOUDY JUNE - I LIKE YOU BEST,63
NOGA EREZ,77,ELLA RED - I LIKE YOU BEST,63
TOTAL TOMMY,74,FRYTZ - TANZEN JA OK,61
SIGRID,73,HAIM - ALL OVER ME,59
ALLI NEUMANN,69,HAIM - TAKE ME BACK,58
THE MOVING STILLS,69,ST. LUNDI - MERCURY,58
NOMBE,68,SANNA - FUCKED UP,57
JOHN BUTLER,66,RONJA - SORGENKIND,56
FRYTZ,64,LOUIS FUTON - LONG STORY SHORT,54
ELLA RED,63,CHERUB - LONG STORY SHORT,54
CLAIRO,62,THE MOVING STILLS - TSUNAMI,54
MOGLII,61,TELQUIST - NIGHT SWIMMING,53
RONJA,59,LOLA YOUNG - ONE THING,53
GLASS ANIMALS,58,ALLI NEUMANN FT. FUFFIFUFZICH - SCHROTT,51
ANTONIUS,58,FLORENCE ROAD - GOODNIGHT,48
KASI,58,NINA CAROLINE - RADIO SILENT,47
ST. LUNDI,58,SUDAN ARCHIVES - MY TYPE,46
