Artist,Times Played,Artist - Song,Times Played
ED SHEERAN,140,KAMRAD - BE MINE,83
LEONY,125,DAVID GUETTA - BEAUTIFUL PEOPLE,81
DAVID GUETTA,124,SIA - BEAUTIFUL PEOPLE,81
APACHE 207,117,TEDDY SWIMS - BAD DREAMS,81
CALVIN HARRIS,110,HURTS - WONDERFUL LIFE '25,81
PURPLE DISCO MACHINE,107,PURPLE DISCO MACHINE - WONDERFUL LIFE '25,81
FELIX JAEHN,105,SHABOOZEY - BLINK TWICE,81
LADY GAGA,99,MYLES SMITH - BLINK TWICE,81
KAMRAD,98,LADY GAGA - ABRACADABRA,80
AVA MAX,98,WIZTHEMC - SHOW ME LOVE,80
NICO SANTOS,93,LEONY - BY YOUR SIDE (IN MY MIND),74
SIA,93,LOLA YOUNG - MESSY,74
CLOCKCLOCK,91,ED SHEERAN - AZIZAM,73
MYLES SMITH,89,MILEY CYRUS - END OF THE WORLD,72
MICHAEL PATRICK KELLY,86,ALEX WARREN - ORDINARY,70
TEDDY SWIMS,85,CALVIN HARRIS - BLESSINGS,68
SHABOOZEY,85,CLEMENTINE DOU - BLESSINGS,68
MILEY CYRUS,84,MICHAEL PATRICK KELLY - THE ONE,66
HURTS,83,LOI - GET LUCKY,66
LOI,82,AVA MAX - LOVIN MYSELF,64
WIZTHEMC,80,FELIX JAEHN - PRIDE,62
P!NK,79,NICO SANTOS - HOME PT. 2,62
GLOCKENBACH,76,JHART - PRIDE,62
LOLA YOUNG,74,APACHE 207 - MORGEN,58
ALEX WARREN,73,CLOCKCLOCK - ADORE YA,57
SOPHIE AND THE GIANTS,72,APACHE 207 - MANN MUSS,53
LOST FREQUENCIES,71,ED SHEERAN - SAPPHIRE,50
TOPIC,71,MAROON 5 - PRICELESS,49
MICHAEL SCHULTE,69,LISA - PRICELESS,49
CLEMENTINE DOU,68,SABRINA CARPENTER - MANCHILD,49
ALVARO SOLER,68,NEIKED - GLIDE,48
SABRINA CARPENTER,66,PORTUGAL. THE MAN - GLIDE,48
ÁSDÍS,65,MICHAEL SCHULTE - AFTERLIFE,45
ROBIN SCHULZ,64,ÁSDÍS - PICK UP!,39
MAROON 5,63,SOPHIE AND THE GIANTS - A LITTLE BIT WILD,38
COLDPLAY,63,GLOCKENBACH - HOME,38
JHART,62,TOM WALKER - HOME,38
ALLE FARBEN,60,THE BOSSHOSS - I'LL BE BACK,36
LINKIN PARK,58,ARNOLD SCHW - I'LL BE BACK,36
MICHAEL JACKSON,56,SOMBR - UNDRESSED,33
ZOE WEES,54,JUSTIN BIEBER - DAISIES,32
TAYLOR SWIFT,50,LEWIS CAPALDI - SURVIVE,30
DUA LIPA,49,IGGI KELLY - I FOLLOW YOU,30
LISA,49,ARTEMAS - I LIKE THE WAY YOU KISS ME,28
PORTUGAL. THE MAN,49,LEONY - THE WEEKEND,27
AVICII,49,IMRAN - THE WEEKEND,27
NEIKED,48,TWOCOLORS - CYNICAL,25
JUSTIN BIEBER,47,SAFRI DUO - CYNICAL,25
QUEEN,47,CHRIS DE - CYNICAL,25
PHIL COLLINS,46,CYRIL - STUMBLIN' IN,24
MADONNA,46,LOST FREQUENCIES - THE FEELING,23
JAMES BLUNT,45,LOST FREQUENCIES - HEAD DOWN,23
CYRIL,43,BASTILLE - HEAD DOWN,23
IGGI KELLY,42,KENYA GRACE - STRANGERS,23
TOM WALKER,41,BENSON BOONE - SORRY I'M HERE FOR SOMEONE ELSE,21
KATY PERRY,41,ZOE WEES - TRAITOR,21
LEWIS CAPALDI,41,ALVARO SOLER - TE IMAGINABA,21
YOUNOTUS,41,BRUNO MARS - APT.,21
ROXETTE,40,MEDUZA - BAD MEMORIES,21
TATE MCRAE,37,JAMES CARTER - BAD MEMORIES,21
THE BOSSHOSS,37,EL - BAD MEMORIES,21
THE WEEKND,37,THE WEEKND - DANCING IN THE FLAMES,21
TWOCOLORS,36,ROSÉ - APT.,21
BRUNO MARS,36,ROSA LINN - SNAP,20
ARNOLD SCHW,36,KELVIN JONES - BORN TO BREAK YOUR HEART,20
BENSON BOONE,35,BEYONCÉ - TEXAS HOLD 'EM,20
SHAWN MENDES,34,GRACIE ABRAMS - THAT'S SO TRUE,20
MEDUZA,34,TATE MCRAE - 1035,19
RIHANNA,34,LINKIN PARK - THE EMPTINESS MACHINE,19
DERMOT KENNEDY,34,CYRIL - TEARS DRY TONIGHT,19
SOMBR,33,HUGEL - I ADORE YOU,19
BASTILLE,33,TOPIC - I ADORE YOU,19
KYGO,31,ARASH - I ADORE YOU,19
SAFRI DUO,30,DAEC - I ADORE YOU,19
RAG'N'BONE MAN,30,ALLE FARBEN - FORGOT HOW TO LOVE,19
JENNIFER LOPEZ,30,YOUNOTUS - ALL IN,19
MARK FORSTER,30,JAMES BLUNT - TEARS DRY TONIGHT,19
ONE REPUBLIC,30,TAYLOR SWIFT - CRUEL SUMMER,19
CHRIS DE,29,POST MALONE - CHEMICAL,19
NICKELBACK,29,LAURELL - ALL IN,19
POST MALONE,29,TIËSTO - 1035,19
EL,29,DASHA - AUSTIN,19
ARTEMAS,28,MOSS KENA - FORGOT HOW TO LOVE,19
BON JOVI,28,HOZIER - TOO SWEET,19
KELVIN JONES,28,SOPHIE AND THE GIANTS - RED LIGHT,18
BEYONCÉ,28,REA GARVEY - FREE LIKE THE OCEAN,18
ELLIE GOULDING,27,MICHAEL SCHULTE - WATERFALL,18
STING,27,BILLIE EILISH - BIRDS OF A FEATHER,18
IMRAN,27,EMINEM - HOUDINI,18
WHITNEY HOUSTON,27,R3HAB - WATERFALL,18
REA GARVEY,26,ZOE WEES - LIGHTNING,17
LIL NAS X,26,TATE MCRAE - GREEDY,17
ONEREPUBLIC,26,LINKIN PARK - LOST,17
JASON DERULO,25,LIL NAS X - STAR WALKIN',17
ROBBIE WILLIAMS,25,DUA LIPA - TRAINING SEASON,17
HOZIER,25,TOPIC - KERNKRAFT 400 (A BETTER DAY),17
JUSTIN TIMBERLAKE,24,TOBY ROMEO - WHAT IT FEELS LIKE,17
ELLA HENDERSON,24,YOUNOTUS - WHAT IT FEELS LIKE,17
A7S,24,SABRINA CARPENTER - ESPRESSO,17
HERBERT GRÖNEMEYER,23,SHAWN MENDES - WHY WHY WHY,17
BACKSTREET BOYS,23,A7S - KERNKRAFT 400 (A BETTER DAY),17
IMAGINE DRAGONS,23,MARK AMBOR - BELONG TOGETHER,17
KENYA GRACE,23,P!NK - DREAMING,16
TINA TURNER,23,SAM TOMPKINS - DIE FOR SOMEONE,16
EMINEM,22,STING - DREAMING,16
TOM GREGORY,22,MARSHMELLO - DREAMING,16
JAMES CARTER,22,DERMOT KENNEDY - KISS ME,16
LAURELL,22,MALIK HARRIS - DREAMER,16
TAIO CRUZ,22,ZARA LARSSON - CAN'T TAME HER,16
DEPECHE MODE,21,YEARS - KING,16
THE BLACK EYED PEAS,21,ALVARO SOLER - SOLO PARA TI,15
BRYAN ADAMS,21,TOPIC - SOLO PARA TI,15
NELLY FURTADO,21,COLDPLAY - WE PRAY,15
GENESIS,21,LITTLE SIMZ - WE PRAY,15
OFENBACH,21,BURNA B - WE PRAY,15
ROSÉ,21,BENSON BOONE - BEAUTIFUL THINGS,14
ROSA LINN,20,COLDPLAY - FEELSLIKEIMFALLINGINLOVE,14
CHER,20,SOPHIE AND THE GIANTS - SHUT UP AND DANCE,13
RAY DALTON,20,GLOCKENBACH - LIFELINE,13
HUGEL,20,GLOCKENBACH - DIRTY DANCING,13
BILLIE EILISH,20,ELLA HENDERSON - LIFELINE,13
NIK KERSHAW,20,LOST FREQUENCIES - ARE YOU WITH ME,13
,20,DUA LIPA - HOUDINI,13
GRACIE ABRAMS,20,ÁSDÍS - DIRTY DANCING,13
SUNRISE AVENUE,19,ONEREPUBLIC - RUNAWAY,13
ARASH,19,TINA TURNER - WHAT'S LOVE GOT TO DO WITH IT,13
DAEC,19,JUSTIN TIMBERLAKE - SELFISH,12
ADELE,19,CALVIN HARRIS - LOVERS IN A PAST LIFE,12
TOBY ROMEO,19,RAG'N'BONE MAN - LOVERS IN A PAST LIFE,12
BILLY JOEL,19,IGGI KELLY - HEARD IT ALL,12
TIËSTO,19,FAST BOY - WAVE,12
DASHA,19,RAF - WAVE,12
MOSS KENA,19,FELIX JAEHN - CALL IT LOVE,11
VIZE,19,FELIX JAEHN - ALL FOR LOVE,11
CLEAN BANDIT,18,NICO SANTOS - HUMAN BEING,11
R3HAB,18,ELLA HENDERSON - HURRICANE,11
FLO RIDA,18,RAY DALTON - CALL IT LOVE,11
ACE OF BASE,18,SNOW - CON CALMA,11
FALCO,18,PURPLE DISCO MACHINE - SUBSTITUTION,11
U 2,18,ÁSDÍS - ANGEL EYES,11
FAST BOY,18,AVA MAX - MAYBE YOU'RE THE PROBLEM,11
MARSHMELLO,17,TAYLOR SWIFT - ANTI-HERO,11
RITA ORA,17,ROBIN SCHULZ - I'LL BE THERE,11
MARK AMBOR,17,CLEAN BANDIT - RATHER BE,11
DADDY YANKEE,17,KUNGS - SUBSTITUTION,11
PRINCE,16,OFENBACH - HURRICANE,11
BOB MARLEY,16,SANDRO CAVAZ - ALL FOR LOVE,11
SIDO,16,REGARD - RIDE IT,11
SAM TOMPKINS,16,RITA ORA - I'LL BE THERE,11
OMI,16,TIAG - I'LL BE THERE,11
DAFT PUNK,16,ERIC PRYDZ - CALL ON ME,11
MALIK HARRIS,16,DADDY YANKEE - CON CALMA,11
